case_id,evidence_id,entity_type,value,normalized,extracted_at
CASE_185915593C,EVID_00011,khalti_ids,9847011223,+9779847011223,2026-07-25T17:20:06.345Z
CASE_185915593C,EVID_00012,phones,+977-9801122334,+9779801122334,2026-07-25T17:20:36.101Z
CASE_185915593C,EVID_00012,money,Npr 5,NPR 5,2026-07-25T17:20:36.101Z
CASE_185915593C,EVID_00013,phones,0198765432,0198765432,2026-07-25T17:26:17.304Z
CASE_185915593C,EVID_00013,phones,9847011223,+9779847011223,2026-07-25T17:26:17.304Z
CASE_185915593C,EVID_00013,dates,2026-06-14,2026-06-14,2026-07-25T17:26:17.304Z
CASE_185915593C,EVID_00013,money,"NPR 25,000.00",NPR 25000,2026-07-25T17:26:17.304Z
CASE_185915593C,EVID_00013,bank_accounts,0501-0198765432,05010198765432,2026-07-25T17:26:17.304Z
CASE_185915593C,EVID_00013,bank_accounts,9847011223,9847011223,2026-07-25T17:26:17.304Z
CASE_185915593C,EVID_00013,transaction_ids,MBL-2026-441829,MBL-2026-441829,2026-07-25T17:26:17.304Z
CASE_185915593C,EVID_00013,transaction_ids,DsN2026,DSN2026,2026-07-25T17:26:17.304Z
CASE_185915593C,EVID_00014,urls,https://esewa-cashback-offer.xyz/claim,https://esewa-cashback-offer.xyz/claim,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,domains,esewa-cashback-offer.xyz,esewa-cashback-offer.xyz,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,domains,gmail.com,gmail.com,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,domains,esewa-verify-kyc.com,esewa-verify-kyc.com,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,emails,sunita.gurung21@gmail.com,sunita.gurung21@gmail.com,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,emails,esewa.cashback99@gmail.com,esewa.cashback99@gmail.com,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,emails,support@esewa-verify-kyc.com,support@esewa-verify-kyc.com,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,phones,9847011223,+9779847011223,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,phones,9801122334,+9779801122334,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,dates,10 June 2026,10 June 2026,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,dates,14 June 2026,14 June 2026,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,dates,11 June 2026,11 June 2026,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,dates,15 June 2026,15 June 2026,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,money,"NPR 5,000",NPR 5000,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,money,NPR 200,NPR 200,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,money,"NPR 1,500",NPR 1500,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,money,"NPR 25,000",NPR 25000,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,bank_accounts,0501-9012345678,05019012345678,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,transaction_ids,0119.0625.987456,0119.0625.987456,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,transaction_ids,KH-2026-0611-77245,KH-2026-0611-77245,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,transaction_ids,MBL-2026-441829,MBL-2026-441829,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,transaction_ids,CASE_2026_0088,CASE_2026_0088,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,esewa_ids,sunita.gurung21@gmail.com,sunita.gurung21@gmail.com,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,esewa_ids,esewa.cashback99@gmail.com,esewa.cashback99@gmail.com,2026-07-25T17:26:20.554Z
CASE_185915593C,EVID_00014,khalti_ids,9801122334,+9779801122334,2026-07-25T17:26:20.554Z
CASE_1A1BF573F3,EVID_00016,domains,gmail.com,gmail.com,2026-08-03T14:00:13.916Z
CASE_1A1BF573F3,EVID_00016,emails,sunita.gurung21@gmail.com,sunita.gurung21@gmail.com,2026-08-03T14:00:13.916Z
CASE_1A1BF573F3,EVID_00016,money,NPR 200,NPR 200,2026-08-03T14:00:13.916Z
CASE_1A1BF573F3,EVID_00016,esewa_ids,sunita.gurung21@gmail.com,sunita.gurung21@gmail.com,2026-08-03T14:00:13.916Z
CASE_1A1BF573F3,EVID_00017,urls,https://esewa-cashback-offer.xyz/claim?ref=DsN2026,https://esewa-cashback-offer.xyz/claim?ref=DsN2026,2026-08-03T14:00:17.738Z
CASE_1A1BF573F3,EVID_00017,domains,esewa-cashback-offer.xyz,esewa-cashback-offer.xyz,2026-08-03T14:00:17.738Z
CASE_1A1BF573F3,EVID_00017,money,NPR 5000,NPR 5000,2026-08-03T14:00:17.738Z
CASE_1A1BF573F3,EVID_00017,transaction_ids,DSN2026,DSN2026,2026-08-03T14:00:17.738Z
CASE_1A1BF573F3,EVID_00018,domains,esewa.cashbacko90gmail.com,esewa.cashbacko90gmail.com,2026-08-03T14:00:21.874Z
CASE_1A1BF573F3,EVID_00018,domains,sunita.gurung216gmail.com,sunita.gurung216gmail.com,2026-08-03T14:00:21.874Z
CASE_1A1BF573F3,EVID_00018,money,Rs.200.00,NPR 200,2026-08-03T14:00:21.874Z
CASE_1A1BF573F3,EVID_00018,transaction_ids,0119.0625.987456,0119.0625.987456,2026-08-03T14:00:21.874Z
CASE_1A1BF573F3,EVID_00019,domains,eSewa-cashback-offer.xyz,esewa-cashback-offer.xyz,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,phones,9801122334,+9779801122334,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,phones,9847011223,+9779847011223,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,dates,11 June 2026,11 June 2026,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,times,11:15 AM,11:15 AM,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,money,"Rs. 1,500.00",NPR 1500,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,transaction_ids,KH-2026-0611-77245,KH-2026-0611-77245,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,transaction_ids,DsN2026,DSN2026,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,khalti_ids,9801122334,+9779801122334,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00019,khalti_ids,9847011223,+9779847011223,2026-08-03T14:00:25.840Z
CASE_1A1BF573F3,EVID_00020,domains,kyc.co,kyc.co,2026-08-03T14:00:30.704Z
CASE_1A1BF573F3,EVID_00020,phones,+977-9801122334,+9779801122334,2026-08-03T14:00:30.704Z
CASE_1A1BF573F3,EVID_00021,phones,0198765432,0198765432,2026-08-03T14:00:53.425Z
CASE_1A1BF573F3,EVID_00021,phones,9847011223,+9779847011223,2026-08-03T14:00:53.425Z
CASE_1A1BF573F3,EVID_00021,dates,2026-06-14,2026-06-14,2026-08-03T14:00:53.425Z
CASE_1A1BF573F3,EVID_00021,money,"NPR 25,000.00",NPR 25000,2026-08-03T14:00:53.425Z
CASE_1A1BF573F3,EVID_00021,bank_accounts,0501-0198765432,05010198765432,2026-08-03T14:00:53.425Z
CASE_1A1BF573F3,EVID_00021,bank_accounts,9847011223,9847011223,2026-08-03T14:00:53.425Z
CASE_1A1BF573F3,EVID_00021,transaction_ids,MBL-2026-441829,MBL-2026-441829,2026-08-03T14:00:53.425Z
CASE_1A1BF573F3,EVID_00021,transaction_ids,DsN2026,DSN2026,2026-08-03T14:00:53.425Z
CASE_1A1BF573F3,EVID_00022,urls,https://esewa-cashback-offer.xyz/claim,https://esewa-cashback-offer.xyz/claim,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,domains,esewa-cashback-offer.xyz,esewa-cashback-offer.xyz,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,domains,gmail.com,gmail.com,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,domains,esewa-verify-kyc.com,esewa-verify-kyc.com,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,emails,sunita.gurung21@gmail.com,sunita.gurung21@gmail.com,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,emails,esewa.cashback99@gmail.com,esewa.cashback99@gmail.com,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,emails,support@esewa-verify-kyc.com,support@esewa-verify-kyc.com,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,phones,9847011223,+9779847011223,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,phones,9801122334,+9779801122334,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,dates,10 June 2026,10 June 2026,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,dates,14 June 2026,14 June 2026,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,dates,11 June 2026,11 June 2026,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,dates,15 June 2026,15 June 2026,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,money,"NPR 5,000",NPR 5000,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,money,NPR 200,NPR 200,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,money,"NPR 1,500",NPR 1500,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,money,"NPR 25,000",NPR 25000,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,bank_accounts,0501-9012345678,05019012345678,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,transaction_ids,0119.0625.987456,0119.0625.987456,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,transaction_ids,KH-2026-0611-77245,KH-2026-0611-77245,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,transaction_ids,MBL-2026-441829,MBL-2026-441829,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,transaction_ids,CASE_2026_0088,CASE_2026_0088,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,esewa_ids,sunita.gurung21@gmail.com,sunita.gurung21@gmail.com,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,esewa_ids,esewa.cashback99@gmail.com,esewa.cashback99@gmail.com,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00022,khalti_ids,9801122334,+9779801122334,2026-08-03T14:00:54.146Z
CASE_1A1BF573F3,EVID_00023,dates,2026-01-04,2026-01-04,2026-08-03T14:00:54.829Z
CASE_1A1BF573F3,EVID_00023,dates,2026-01-03,2026-01-03,2026-08-03T14:00:54.829Z
CASE_1A1BF573F3,EVID_00024,urls,http://nabil-verify.example-scam.top/login,http://nabil-verify.example-scam.top/login,2026-08-03T14:00:57.094Z
CASE_1A1BF573F3,EVID_00024,domains,nabil-verify.example-scam.top,nabil-verify.example-scam.top,2026-08-03T14:00:57.094Z
CASE_1A1BF573F3,EVID_00024,domains,nabil-bank-alerts.com,nabil-bank-alerts.com,2026-08-03T14:00:57.094Z
CASE_1A1BF573F3,EVID_00024,emails,security@nabil-bank-alerts.com,security@nabil-bank-alerts.com,2026-08-03T14:00:57.094Z
CASE_0CD406813C,EVID_00027,urls,https://esewa-bonus-claim.xyz/verify?ref=DSN2026,https://esewa-bonus-claim.xyz/verify?ref=DSN2026,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,domains,esewa-bonus-claim.xyz,esewa-bonus-claim.xyz,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,domains,gmail.com,gmail.com,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,emails,reward.center2026@gmail.com,reward.center2026@gmail.com,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,phones,+9779841002233,+9779841002233,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,phones,9812345678,+9779812345678,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,dates,2026-07-14,2026-07-14,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,money,"NPR 15,000",NPR 15000,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,money,NPR 500,NPR 500,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,money,"NPR 12,000",NPR 12000,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,money,"NPR 12,500",NPR 12500,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,bank_accounts,01903015472901,01903015472901,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,transaction_ids,ESW-2026-0714-88231,ESW-2026-0714-88231,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00027,esewa_ids,9812345678,+9779812345678,2026-08-21T06:37:35.562Z
CASE_0CD406813C,EVID_00028,phones,9812345678,+9779812345678,2026-08-21T06:37:35.612Z
CASE_0CD406813C,EVID_00028,dates,2026-07-14,2026-07-14,2026-08-21T06:37:35.612Z
CASE_0CD406813C,EVID_00028,dates,2026-07-15,2026-07-15,2026-08-21T06:37:35.612Z
CASE_0CD406813C,EVID_00028,dates,2026-07-01,2026-07-01,2026-08-21T06:37:35.612Z
CASE_0CD406813C,EVID_00028,esewa_ids,9812345678,+9779812345678,2026-08-21T06:37:35.612Z
CASE_0CD406813C,EVID_00029,urls,https://esewa-bonus-claim.xyz/verify?ref=DSN2026,https://esewa-bonus-claim.xyz/verify?ref=DSN2026,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,domains,esewa-bonus-claim.xyz,esewa-bonus-claim.xyz,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,domains,gmail.com,gmail.com,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,emails,reward.center2026@gmail.com,reward.center2026@gmail.com,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,emails,sunita.rai88@gmail.com,sunita.rai88@gmail.com,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,phones,9812345678,+9779812345678,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,dates,14 Jul 2026,14 Jul 2026,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,times,09:12:04,09:12:04,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,money,"NPR 15,000",NPR 15000,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,money,NPR 500,NPR 500,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00029,esewa_ids,9812345678,+9779812345678,2026-08-21T06:37:35.776Z
CASE_0CD406813C,EVID_00030,phones,9812345678,+9779812345678,2026-08-21T06:37:39.763Z
CASE_0CD406813C,EVID_00030,phones,+9779841002233,+9779841002233,2026-08-21T06:37:39.763Z
CASE_0CD406813C,EVID_00030,dates,2026-07-14,2026-07-14,2026-08-21T06:37:39.763Z
CASE_0CD406813C,EVID_00030,times,11:42 AM,11:42 AM,2026-08-21T06:37:39.763Z
CASE_0CD406813C,EVID_00030,money,Rs. 500.00,NPR 500,2026-08-21T06:37:39.763Z
CASE_0CD406813C,EVID_00030,transaction_ids,ESW-2026-0714-88231,ESW-2026-0714-88231,2026-08-21T06:37:39.763Z
CASE_0CD406813C,EVID_00031,domains,gmail.com,gmail.com,2026-08-21T06:37:43.485Z
CASE_0CD406813C,EVID_00031,emails,reward.center2026@gmail.com,reward.center2026@gmail.com,2026-08-21T06:37:43.485Z
CASE_0CD406813C,EVID_00031,phones,+9779812345678,+9779812345678,2026-08-21T06:37:43.485Z
CASE_0CD406813C,EVID_00031,dates,2026-07-14,2026-07-14,2026-08-21T06:37:43.485Z
CASE_0CD406813C,EVID_00031,money,Rs 500,NPR 500,2026-08-21T06:37:43.485Z
CASE_0CD406813C,EVID_00031,esewa_ids,9812345678,+9779812345678,2026-08-21T06:37:43.485Z
CASE_0CD406813C,EVID_00032,phones,+9779812345678,+9779812345678,2026-08-21T06:37:47.978Z
CASE_0CD406813C,EVID_00032,money,NPR 15.00,NPR 15,2026-08-21T06:37:47.978Z
CASE_0CD406813C,EVID_00032,money,NPR 500,NPR 500,2026-08-21T06:37:47.978Z
CASE_0CD406813C,EVID_00033,urls,https://esewa-bonus-claim.xyz/verify?ref=DSN2026,https://esewa-bonus-claim.xyz/verify?ref=DSN2026,2026-08-21T06:38:44.623Z
CASE_0CD406813C,EVID_00033,domains,esewa-bonus-claim.xyz,esewa-bonus-claim.xyz,2026-08-21T06:38:44.623Z
CASE_4B2A51A300,EVID_00034,domains,gmail.com,gmail.com,2026-08-21T06:43:00.907Z
CASE_4B2A51A300,EVID_00034,domains,khalti-kyc-verify.top,khalti-kyc-verify.top,2026-08-21T06:43:00.907Z
CASE_4B2A51A300,EVID_00034,emails,reward.center2026@gmail.com,reward.center2026@gmail.com,2026-08-21T06:43:00.907Z
CASE_4B2A51A300,EVID_00034,phones,+9779812345678,+9779812345678,2026-08-21T06:43:00.907Z
CASE_4B2A51A300,EVID_00034,khalti_ids,9812345678,+9779812345678,2026-08-21T06:43:00.907Z
CASE_4B2A51A300,EVID_00035,urls,http://khalti-kyc-verify.top/login,http://khalti-kyc-verify.top/login,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,urls,https://esewa-bonus-claim.xyz/verify?ref=KYC2026,https://esewa-bonus-claim.xyz/verify?ref=KYC2026,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,domains,khalti-kyc-verify.top,khalti-kyc-verify.top,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,domains,esewa-bonus-claim.xyz,esewa-bonus-claim.xyz,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,domains,gmail.com,gmail.com,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,emails,reward.center2026@gmail.com,reward.center2026@gmail.com,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,phones,+9779856770011,+9779856770011,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,phones,9812345678,+9779812345678,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,dates,2026-08-02,2026-08-02,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,money,NPR 750,NPR 750,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,money,"NPR 9,500",NPR 9500,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,money,"NPR 10,250",NPR 10250,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,bank_accounts,01903015472901,01903015472901,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,transaction_ids,KHL-2026-0802-44190,KHL-2026-0802-44190,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00035,khalti_ids,9812345678,+9779812345678,2026-08-21T06:43:01.286Z
CASE_4B2A51A300,EVID_00036,phones,9812345678,+9779812345678,2026-08-21T06:43:01.343Z
CASE_4B2A51A300,EVID_00036,dates,2026-08-02,2026-08-02,2026-08-21T06:43:01.343Z
CASE_4B2A51A300,EVID_00036,dates,2026-08-03,2026-08-03,2026-08-21T06:43:01.343Z
CASE_4B2A51A300,EVID_00036,dates,2026-07-28,2026-07-28,2026-08-21T06:43:01.343Z
CASE_4B2A51A300,EVID_00036,khalti_ids,9812345678,+9779812345678,2026-08-21T06:43:01.343Z
CASE_4B2A51A300,EVID_00037,urls,http://khalti-kyc-verify.top/login,http://khalti-kyc-verify.top/login,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,urls,https://esewa-bonus-claim.xyz/verify?ref=KYC2026,https://esewa-bonus-claim.xyz/verify?ref=KYC2026,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,domains,khalti-kyc-verify.top,khalti-kyc-verify.top,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,domains,esewa-bonus-claim.xyz,esewa-bonus-claim.xyz,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,domains,gmail.com,gmail.com,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,emails,reward.center2026@gmail.com,reward.center2026@gmail.com,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,emails,bikash.thapa14@gmail.com,bikash.thapa14@gmail.com,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,phones,9812345678,+9779812345678,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,dates,02 Aug 2026,02 Aug 2026,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,times,08:55:31,08:55:31,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,money,NPR 750,NPR 750,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,bank_accounts,01903015472901,01903015472901,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00037,khalti_ids,9812345678,+9779812345678,2026-08-21T06:43:01.392Z
CASE_4B2A51A300,EVID_00038,phones,9812345678,+9779812345678,2026-08-21T06:43:07.810Z
